sentence,label
"Particularly remarkable in this context are Whistler 's lyrical 1864 depiction of an English woman examining a blue-and-white ceramic vase , which mixes Chinese and Japanese themes , and Monet 's astonishingly brash depiction of his wife in a bright red kimono , surrounded by fans .",0
"Santa Clara , Calif.-based Intel -- which makes a broad line of semiconductor products -- along with most other big U.S. chip makers , quit making so-called DRAM , or dynamic random access memory , chips after Japanese chip makers flooded the U.S. with cheap memory chips earlier in the decade .",1
"`` I miss my camp , my camels , my cheese , '' he says wistfully .",0
`` They 're afraid program trading will touch off another free fall and they 've been through that before . '',1
He said that MMWEC will have to absorb only $ 4 million in additional annual costs now paid by the Vermont utilities .,0
He also attacked a House panel for disclosing at least three pending SEC inquiries .,1
"American officials have concluded that the Kuwaiti hijacking is the work of a Lebanese Shiite terrorist named Imad Mugniyah who has been trying for more than four years to free his wife 's brother from prison in Kuwait , where he was convicted in 1984 of building a bomb used to attack the U.S. Embassy .",0
"Mohammed Abu-Helal , a West Bank farmer , used to ride his donkey across the river on Fridays to attend an east-bank mosque .",0
"Suzy says she almost did n't answer the Revson column: `` But nobody , especially nobody of this ilk , can attack the queen .",0
"A front is then expected to move in but it will cool temperatures only slightly , to 40 to 50 degrees .",0
"In other sections , Col. Elting examines the telegraph , map-making , military intelligence and counterintelligence , the importance of flags and banners and of drums and trumpets .",0
"Rioting Iranians attacked the Soviet Union 's Embassy in Tehran , accusing Moscow of supplying Iraq with missiles used in recent raids on Iran .",0
Yet he missed the mark on his beliefs that money has no `` cost '' and interest rates are the `` price '' of money .,0
The FDIC package would sharply boost the merged institution 's capital and give it a huge cushion to absorb future loan losses .,0
"Astrotech went into a deep tailspin two years ago , officials say , with the explosion of the Space Shuttle Challenger , which destroyed hopes of near-term commercial space travel .",0
"Dole strategists are targeting areas of Missouri , Oklahoma , Maryland and North Carolina .",0
The scenes two weeks ago of ordinary people in Krasnoyarsk verbally assaulting Mikhail Gorbachev because of the shortage of goods in the shops reflect how deep popular disappointment is over the results of `` perestroika '' thus far .,1
"So if he wants to return the federal money , his only option seems to be to find a friendly banker who will lend him the $ 6 million without collateral , on the strength of his predicted future receipts and his prodigious reputation for raising money when he was in the television religion business .",0
`` You think we can knock these things out like hamburgers ?,1
"Formerly senior vice president of the international division of the New York Stock Exchange , he fills a vacancy created by recent resignations .",0
"But war-torn Nicaragua today is freer than under Mr. Ortega 's predecessors , the Somozas , who managed in their 43-year reign to escape both a U.S.-sponsored invasion and your denunciations .",0
"Thanks to further development of previously discovered reserves in Alaska and the Gulf of Mexico , BP America is one of the few North American oil producers that pumped more crude oil last year than in 1986 .",1
-- The justices refused to hear an antitrust appeal by actor Paul Newman and director George Roy Hill in a suit charging that MCA Inc. and its Universal City Studios Inc. unit conspired to fix the percentage of film revenue paid to artists .,1
Mitterrand dissolved parliament Saturday .,1
"Bush and Dukakis should be asked to clarify where they stand on this important distinction , for it 's clear that the real work of fixing the schools will fall to local politicians and school boards .",1
"The agreement , to be announced today , marks the first time an industry using chlorofluorocarbons , or CFCs , has voluntarily decided to phase out the chemicals because they can destroy the Earth 's protective ozone layer .",0
A Treasury official yesterday attacked Mr. Robinson 's proposal as `` clearly a commercial venture on the part of American Express '' and one that contains nothing new .,0
"Citibank has examined several Texas banks , but thus far has decided that it did n't have enough confidence in the short-term Texas outlook to take the plunge .",0
This was not the first occasion when Sandinistas have pursued Contras across an ill-defined frontier and sought to destroy the Contra bases .,0
"This time , the ground absorbed the shock waves enough to transfer her images to the metal in bas-relief .",0
"The observers in Seoul are convinced North Korea was responsible for the Nov. 29 bombing of a Korean Air Lines flight near Burma , which killed 115 .",0
But Philips said it would step up efforts to restructure its medical division so that it could be competitive on its own .,1
But the Supreme Court melted down my statue when it decided Hazelwood . '',1
"With the pace of the campaign now heating up , the two leaders will be stepping up their appearances: At least four more debates are scheduled between now and March .",0
A group of containerized-waste customers charged that Waste Management Inc. and Browning-Ferris Industries Inc. conspired on a nationwide basis to fix prices for container-refuse service .,0
"Ravin Caldwell , an obscure rookie special-teams player from Arkansas , finally grasped it , probably saving his team 's bacon .",0
But it 's another thing to simply pour money into a fiscal black hole .,1
"In light of all this , you might expect the government here to pour millions into science .",1
"Insects begin attacking the snags almost immediately after a fire , and the charred trunks are likely to be toppled by the wind .",0
"`` Advertisers are expected to drag their heels a little bit -LRB- now -RRB- , arguing that , hey , there just are n't that many eyeballs out there . ''",1
Friends say a 1975 auto crash that killed his wife and two children pushed Mr. Kiley deeper into his work and seared new priorities into his management approach .,1
"Sure , everybody knows how the trade deficit , the dollar and index arbitrage helped knock the Dow Jones Industrial Average down 101.46 points Thursday .",1
"The union leaders also will attack one of Wall Street 's most dearly held beliefs about Texas Air -- something that has long helped to sustain its stock price: that for all its losses and labor travails , the company still sits on a motherlode of cash .",0
"In a city where night life leans toward kids cruising on weekends , Gene Harris and his cohorts have filled a void and then some .",1
He said people who criticize Wall Street 's computerized trading strategies have missed the point .,0
"`` The market had a bad spill on Friday , and normally when that happens they absolutely kill it on Monday , '' said Bernard Savaiko , senior precious metals analyst for PaineWebber Inc . , New York .",1
Most African governments pay lip service but not much else to the principle of plowing those hunting revenues back into the rural communities .,0
You should drink a full eight ounces of water with your tablets .,1
"Banks have lent small amounts of gold for decades to borrowers such as jewelers , who use gold in their business .",0
"Farmers in Kansas , the No. 1 wheat-producing state , planted 10.2 million acres , the smallest since 1971 .",0
"On Friday , Commander Abdul Haq 's troops attacked Kabul Airport with new Sacher incendiary rockets .",0
"Also , many farmers have planted soybeans amid their ruined wheat crop , possibly bolstering production .",0
"Watch these acclaimed motor-mouths crank it to the max , in order to `` examine all aspects of the electoral process '' in a single hour .",0
"Director John McTiernan -LRB- `` Predator '' -RRB- has efficiently slapped together the ingredients for a big , ear-shattering action film: slick , heavily armed villains ; a wife in peril ; stupid TV journalists who only make things worse ; a renegade cop who singlehandedly destroys the bad guys against impossible odds .",0
"It turned out that a protein segment in cartilage is similar to the bacterial protein segment , which explained why the white cells also attacked the cartilage .",1
And she recalls Joshua 's reaction to his first week of first grade: `` They do n't give us enough time to rest our heads and our hands . '',0
"Then watch women dancing nude at Tattletales , a blue-collar strip joint down the road with trucks outside and a Welcome Democrats sign on the roof .",0
"But these corporate gains appear more like personal setbacks to Mr. Collyer and many of the other 32 , 500 British workers who struck Ford 's British plants eight days ago .",0
"Television commercials expected to air in mid-April in New York and Miami will feature the homespun pair dancing the salsa , advertising sources said .",0
"President Reagan stepped up the volume of this chorus this year by attacking such purportedly porky projects as a $ 900 , 000 catfish aquaculture facility in Stutgart , Ark . ; a $ 2.4 million grant for the `` tailored clothing industry , '' and a $ 5 million gondola transportation system at an Idaho resort area .",1
"The Federal Home Loan Bank Board , as expected , adopted a resolution intended to reassure Wall Street firms that have lent about $ 12.6 billion to the thrift unit of troubled Financial Corp. of America .",0
"Because of sharp drops in grain stockpiles , the department is likely to allow farmers to plant more acreage next year .",0
"The New York Times is already rehabilitating Michael Dukakis as a `` centrist , '' but if that 's true why are Democrats now grabbing every reporter in town to whisper , `` Sam Nunn for vice president '' ?",1
"Common Cause has attacked the Ways and Means Committee 's proposal to repeal the $ 3 , 000 limit on the deductibility of congressional living expenses in Washington , D.C .",0
"Britain 's North Sea section pumps about 2.5 million barrels of oil a day , while the Norwegian section pumps about 1.2 million barrels a day .",1
"`` We 're waiting for inspiration , one way or the other , '' one equity salesman said , adding that `` at the moment , there 's absolutely nothing to make the market die a death nor spur it on . ''",1
The shelling killed two people in his kibbutz .,0
"`` Next time , '' she says , she will kick him and his wife out .",1
Some are trying to escape childhoods troubled by missing fathers or drug-addicted mothers .,0
French entrepreneurs dish out pretty much the same fare that their U.S. counterparts provide: `` gab '' lines that dozens of people can dial to converse in language as off-color as strikes their fancy ; private lines for one-on-one dirty talking ; and prerecorded sex chatter .,0
"A spokesman for Burbank , Calif.-based Walt Disney Co. said the entertainment concern is examining the decision and would n't comment until after its review is complete .",0
"Most analysts expect farmers to plant 66.7 million to 70 million acres , up from 65.7 million acres last year .",0
"So far , no one is grabbing the first Concorde out .",1
"The Japanese carrier was shaken in 1985 by a crash of a JAL Boeing 747 that killed 520 people , the worst single-aircraft accident in aviation history , and safety is a central issue in JAL 's current negotiations with several unions .",1
"Sematech , as the venture is called , is the U.S. chip industry 's answer to Japan 's government-aided efforts to target the semiconductor industry for global domination .",0
This at a time when Germany is already leading a new rush to subsidize perestroika -- last week Deutsche Bank closed an agreement to pour some $ 1.9 billion of aid into Moscow 's bottomless coffers .,1
But the bigger companies ' stocks have dragged down the group 's performance .,1
"Several Wall Street investment bankers said clients have instructed them to examine the feasibility of topping the Swiss giant 's bid , but emphasized that interest so far is preliminary .",0
"In hearings before Mr. Needelman last August , the lawyers attacked the seeming contradictions between the papers ' earlier upbeat statements and ambitious spending , and their more recent statements that the Free Press is failing .",0
"A spokesman for the Georgia operations of Lockheed , where the last of 50 C-5Bs is scheduled to roll off the line early next year , said Lockheed has continued talking with a number of U.S. and foreign aircraft concerns about work for its huge plant here .",0
"Early last year , the Navy lent two of the planes to the Coast Guard , and two to Customs .",0
"The Canadian government agency said the funds will be lent to the Bank of China , which will make them available to the China National Technical Import & Export Corp . , which is purchasing the plants .",0
But he said Cigna 's after-tax gain wo n't be material because the company will absorb certain deferred taxes of the division .,0
It 's a step designed to get around potential subpoena limitations by enabling lawyers to examine Seattle witnesses from here .,0
The `` catastrophic illness '' health-care bill approved by Congress yesterday will fill some major gaps in Medicare coverage for the elderly .,1
No bank would lend him money .,0
"The generally accepted reason for the softening of TPA sales is that wholesalers filled their distribution pipeline , and hospital usage now is coming out of wholesalers ' stocks of the drug -- not new sales , Ms. Behrens said .",1
"MINOR MEMOS: Texas Sen. Gramm , who last year bitterly attacked federal financing of a weed center in North Dakota , pushes to establish a `` plant stress '' lab in Lubbock . . . .",0
"In addition , Mr. Joseph said , referring to the subcommittee 's questions about Beatrice , Texstyrene and one other junk-bond issue , by Hanover Petroleum Corp . , `` I do n't think it 's fair at all to attack the firm over two or three instances . ''",1
"The remaining members have agreed to dissolve the facility , though they say they may form a new , smaller claims agency .",0
"But in talking with the FBI agent , the man not only denied he 'd killed anyone , he said that he had n't escaped from prison , that the warden had simply told him to leave one day after more than 20 years behind bars .",0
"A major part of the sale proceeds will be used to repay about US $ 225 million in National Bank debt owed to the Brunei government and more than 40 international creditors , mainly banks that lent to National Bank before it was seized and closed by Brunei in November 1986 .",0
"The evidence showed he had helped fix two juries , and threatened to choke to death a woman witness against him .",1
Sunworld had recently been operating as a charter airline flying 120 flights a month .,1
"The Federal Home Loan Bank Board , as expected , adopted a resolution intended to reassure Wall Street firms that have lent about $ 12.6 billion to the thrift unit of troubled Financial Corp. of America .",0
"The situation shows how the 1985 farm legislation , which flooded the farm economy with cash the past three years , also expanded the government 's exposure to losses .",0
"Mr. Bluey , who reports to SEC enforcement chief Gary Lynch , says he will particularly watch for accounting violations in pumping up sales , cost deferral and new types of financial instruments .",1
The Pac Man defense is named after the video game in which characters try to eat other characters before they get eaten themselves .,1
They examined the death certificates of all children who were killed when hit by a car in Washington state between 1979 and 1983 .,0
The failure of a rocket joint touched off the January 1986 explosion that killed the seven Challenger astronauts .,0
"If the Federal Energy Regulatory Commission approves the plan , Panhandle will have escaped a total of about $ 4 billion in take-or-pay contract liabilities .",0
"In an extreme close-up , Mr. Gorton 's face then fills the screen: `` I needed to listen more , and the voters made that point crystal clear .",1
Regulators are expected to issue soon a statement to reassure firms that have lent to the thrift unit of troubled Financial Corp. of America .,0
`` It seemed to me an enormously powerful tool if you could knock out a gene responsible for a virus or cancer . '',1
"Thus , Japanese companies would have to fight it out with foreign rivals that are targeting the same niche , including Fokker B.V. of the Netherlands , British Aerospace PLC , MBB and Boeing .",0
"The chief substitutes will likely be variations on this chemical structure but with less chlorine , the element thought to destroy atmospheric ozone .",0
Mr. Feldt insisted that the need to cool the high-flying capital markets -- and placate his party 's union supporters at a sensitive juncture in the election campaign -- outweighed the Riksbank 's arguments .,1
Actigall could be used to dissolve the fragments that remain from that procedure .,0
"And even when that loophole was closed , in 1980 , the Japanese decided to absorb the tariff rather than boost prices .",1
"Airborne , he grabs a roll of money from his back pocket and punches it toward the camera .",0
"Senator Kennedy , and the handful of legislators who knew about the secret provision , intended to kill two unfriendly newspapers .",1
"In fact , the biggest problem facing a Jimmy Snyder or Gary Hart today is n't the loss of job or candidacy but the likelihood that he will have to drag his offense forever , like a tin bell , all across the land .",1
"The firm 's list also targets several truly out-of-favor stocks , namely Primerica , the financial-services concern , and retailers Dayton Hudson and Zayre .",1
"A few years ago , Dr. Zimmerman and his colleagues dragged nests of two different termite species into the lab and measured their methane output .",0
"Eric Johnson , the researcher , found that it also destroys certain kinds of botulism .",0
He insists that Ashley 's death was an accident caused by the child tipping over a trash can and eating discarded pills .,0
"`` It 's certainly not the kind of a supply shock that would kick us into a recession , '' says WEFA economist John Hagens .",1
It 's a step designed to get around potential subpoena limitations by enabling lawyers to examine Seattle witnesses from here .,0
Another ad for a toilet-bowl cleaner is shot from inside the toilet so you can watch a wife urge her husband to stick his head inside the bowl to see how clean she got it .,0
"Because they 're so accurate , cruise missiles can use conventional bombs to destroy targets that only a few years ago required nuclear warheads .",0
"The Federal Aviation Administration , trying to reduce the risk of accidents caused by wind shear , ordered that all planes with 30 seats or more be outfitted with equipment that detects and helps pilots escape the condition .",0
"Last September a federal agent even tried to plant a listening device in the building housing MCA 's home video unit , but was discovered by MCA security guards .",0
Mr. Schlachter was drawn to Maaco after talking with a franchisee who fixed a friend 's car .,0
"Asset managers and institutions , which have been selling some of their old OTC favorites for two days now , began pumping proceeds into former OTC high-flyers , mostly issues that plummeted in the crash .",1
"Vice Chairman William J. McDonough , a former State Department official and now the peacekeeper between First Chicago 's two executive camps , smooths it all over this way: `` A traumatic decision in 1986 became a no-brainer in 1987 . ''",1
"Mr. Weiss suggests that the new approach , once developed , could be used in combination with CD4: The CD4 would handle the free-floating viruses , while the new drug would kill infected cells .",0
"He frets that industry 's failure to plow profits back into new capacity will constrain exports , considered by many economists as the brightest hope for maintaining U.S. growth , even if consumer spending weakens .",0
"`` They say it 's demeaning to the steer , but how would they know that ? '' asks Mr. Souther , who compares it to `` wild-cow milking '' -- an event in which one person tries to calm a wild cow while another tries to fill up a Coke bottle with wild-cow milk .",0
"Water is receding there , but in Bombay yesterday , torrential rains killed at least 14 people , and roads and rail links in the city were cut off .",0
Others fly them out as personal luggage .,0
"-- Last September , 22-year-old Kimberly Isaac of Baton Rouge , La . , was badly scraped over a large part of her body when a 1977 LTD she had just parked in a grocery-store lot backed up , knocking her over and dragging her in circles .",0
"After sketching a realistic scenario of a prolonged U.S. invasion of Nicaragua , in which hostile media coverage begins to wither initial public support , Mr. Rusher asks whether controls -- even prior restraint -- ca n't legitimately be invoked by the commander-in-chief in order to maintain `` morale '' at home .",0
"None of the Democratic leadership in the House or Senate was notified about the move , unlike when the U.S. ordered troops into Grenada in 1983 or last October when U.S. forces in the Persian Gulf attacked an oil platform that had been converted to a military facility .",0
In no case did expenditures rise enough after the war to absorb the revenue that would have been available if the war taxes had been retained .,0
"Industry publications of record initially were skeptical of some of the new claims , knowing that Mexico , for instance , had once pumped up its reserves officially to increase bank borrowings .",1
"On the Cadillac Eldorado convertibles , water or melting snow dripping onto the window switch assembly when the driver 's door is open could cause an electrical short .",0
It actually demonstrated its ability to destroy target drones in flight .,0
"As each diver plunges into a cage , Mr. Roessler pours a smelly dipper of chum on top of him: the initiation rite .",0
He fills positions that have been vacant for more than a year .,0
"Limited grew so quickly and was such a hit on Wall Street for so long `` that some of us thought it could escape the current fashion retail slump , but that is n't the case . ''",0
"As each diver plunges into a cage , Mr. Roessler pours a smelly dipper of chum on top of him: the initiation rite .",0
In Popular Front Hollywood it smoothed one 's career to evince a diffuse `` progressivism . '',1
An earthquake that shook Los Angeles in October knocked out computer equipment at California Federal Savings and Loan Association .,1
"In the following decade , the Federal Reserve flooded the banks with reserves , providing the raw material for BankAmerica 's profligate lending policies while also creating a spiraling inflation .",1
Realism might drown it .,1
"In its drive for more minority students , Stanford joined forces with UCLA , the University of California at Berkeley and the University of Southern California to sponsor a forum targeting blacks and Hispanics ; about 200 prospective students attended the event .",1
"Digging into the affairs of a hypothetical Jones Corp . , for example , Murphy accountants and investigators in many cases will examine each and every document .",0
"Mr. Muth is president of Real Estate Advisors Inc . , a Los Angeles investment management firm that agreed to lend Wespac as much as $ 1.5 million under the agreement .",0
A Nomura investment would reflect the growing desire by major Japanese financial institutions to grab a bigger piece of the mergers and acquisitions activity taking place between Japan and the U.S .,1
"In 1925 , Congress said that the Supreme Court has discretion to refuse to hear cases , except when a state supreme court strikes down a federal law or upholds a state law that was challenged as violating the Constitution , 
or when a federal appeals court strikes down a state law or a federal appeals or district court strikes down a federal law , all on constitutional grounds .",0
The delay agreed to by the railroad and the United Transportation Union will give Congress a chance to take final action today on a bill reinstating a government-ordered cooling off period in the long-running labor dispute .,1
"Russians in sweat suits drink tea and play cards , repack their crates and collect their linen .",0
"Black & Decker Corp. stepped up pressure on American Standard Inc . , indicating that it might further sweeten its $ 65-a-share bid if financial information supports a higher figure .",1
"At 9 p.m . , a doctor examines her and orders tests .",0
"The new automated system pumps the solvent through a thin catheter inserted into the gallbladder under local anesthesia , the center said .",0
"In his own opinion , Chairman Ruder attacked both dissents as attempting to reduce the customer 's protection not only below the level set in the securities laws , but even below the standard set by common law .",1
"If so , human cells may also make similar proteins -- potentially confusing immune cells that target foreign stress proteins and inducing them to attack a person 's own cells .",1
"The pipe , dragging the sea floor 500 feet below , hit a coral boulder eight feet in diameter and sprang a leak .",0
"`` You could n't give the shares away if you tried , '' adds Vahid Fathi , an analyst with Prescott , Ball & Turben Inc. Mr. Munk himself recalls , `` I had many people kick me out . ''",1
"Children rode bicycles , played street sports , and had toys that required effort .",0
"Early last month , U.S. investors such as Rockefeller Foundation and Equitable Capital Management Corp. plowed $ 225 million into Advent Corp. 's International Network Fund .",0
"When Mr. Corbett poured molasses on Chief 's feed to make it more appealing , the bored hog merely licked off the syrup .",0
"New Pig Corp . , Tipton , Pa . , offers a hot-dog-shaped sponge that absorbs polluting liquids around factory machines .",0
"As Bismarck wrote more than a century ago: `` I , who prepare to go to war , kill thousands , the Christians in the name of God kill millions . ''",1
"But a KKR spokesman , saying the RJR-Shearson group would sell more RJR assets in a takeover than KKR , denied any such plan: `` They think we want to destroy Atlanta ?",0
"After a few years of relative calm , Burger King is about to start a new advertising campaign that attacks the way McDonald 's cooks .",0
Plus a man who once ate an entire plane piece by piece .,0
The State Department cited `` compelling '' evidence of North Korean complicity after a confessed North Korean agent said on South Korean television that she planted the bombs .,0
"Yields on big certificates of deposit surged in the latest week , but consumers who generally hold smaller CDs missed much of the ride .",0
"While manned launches , such as that of the space shuttle last week , still grab occasional headlines , industry observers are focusing more and more on the moves of trade negotiators .",1
"It more narrowly targets assistance to low-income families by subsidizing day care for families with less than 100 % of a state 's median income , down from 115 % .",0
"In the year ended March 31 , North Sea oil pumped # 8.2 billion into government coffers .",1
"Digging into the affairs of a hypothetical Jones Corp . , for example , Murphy accountants and investigators in many cases will examine each and every document .",0
There also are missing ingredients elsewhere at General Foods .,1
"It seems that Mr. Jackson escapes the media 's searching questions of experience , public policy and character that other candidates are subjected to because of the delicate racial issue .",0
"According to Mr. Gage , Mr. Mulheren later told police , several of whom are friends of his , that he would kill Messrs .",1
"What struck me most about the interview with Dr. Murphy was his challenge to Dr. Paul Leber , the FDA 's director of neuropharmalogical products , to look an Alzheimer 's patient in the eye and tell him that in his lifetime there will never be a cure .",0
The California system acknowledges it missed some opportunities by not going abroad sooner .,0
"Four new studies strongly suggest that heart disease can strike individuals with especially low amounts of high-density lipoproteins , or HDL -- the body 's so-called good cholesterol -- even if their total cholesterol level is below 200 milligrams per deciliter , an amount doctors currently think is safe .",1
"Koversada , maybe humanity 's greatest undraped conurbation , sleeps more than 100 , 000 .",0
"The last B-1B , the warplane built for the Air Force by Rockwell International Corp . , rolled off the production line last week .",0
It said it expects to absorb `` the vast majority '' of those jobs in its private health-care business .,0
"Twelve-year-old Peter Reaves of Pittsburgh treasures `` his free time to ride his bike , play ball and just hangout , '' says his mother Debby .",0
"According to this scenario and much insider speculation , the plot to kill Mr. Ozal may have originated with a middle-level official whose career was threatened .",0
It would be most interesting to see an article that would examine the market value of a college degree by separating out for comparison a group of degreed and non-degreed individuals with similar social and economic backgrounds and levels of intelligence .,0
The announcement Friday follows a court ruling earlier last week dissolving a preliminary injunction that had prevented the IRS from taking such action .,0
It recently sued a small local factory that was knocking off its knock-off with a game called Entrepreneurs .,1
"When his friend Mr. Peterson , who had introduced Mr. Stockman to Salomon Chairman John Gutfreund , offered him a place at Blackstone , Mr. Stockman grabbed it .",1
"Outraged at the sentence , the black community mounted an international campaign attacking the country 's legal system .",0
"The United Kingdom 's chancellor of the exchequer , Nigel Lawson , said the country has tightened its monetary policy to cool a consumer spending spree and bolster weak savings and investment levels .",1
Federal researchers are exploring a possible new biological weapon against cells infected with the virus that causes AIDS. Scientists at the National Institutes of Health are studying a chemical that seeks and kills AIDS-infected blood cells without harming healthy ones .,0
The dissident group plans to attack several provisions that block claimants ' ability to seek compensation from any source other than the special trust fund .,1
"When the chairman of Santa Fe Southern Pacific Corp. flew into town a few months ago in the corporate jet , a small group of trainmen here knew they had struck a raw nerve .",1
Several analysts wondered if the rise was ordered to cool down an overheating economy or rather to present a clear signal to the market that British Chancellor of the Exchequer Nigel Lawson is in command of interest rate policy .,1
"Mr. Parkin says that in 1982 , he lent $ 13 , 000 to Mr. Cohen , the Air Force official responsible for tactical air systems and a close friend of Mr. Galvin .",0
"That 's pretty much it , plotwise , except for coming up with the various modes of transportation the bounty hunter cop has to use to drag the con man accountant across country .",0
"But war-torn Nicaragua today is freer than under Mr. Ortega 's predecessors , the Somozas , who managed in their 43-year reign to escape both a U.S.-sponsored invasion and your denunciations .",0
The class-action suit was brought by a New York investor who purchased several thousands of dollars of First RepublicBank debt last year only to watch his investment wither as Texas 's largest banking company rolled up a $ 656.8 million net loss for 1987 before seeking a bailout from the Federal Deposit Insurance Corp .,1
"Bishop de Landa , recalled to Spain in 1568 , went down in history as a book-burner for destroying the Maya codices , an act that seems more understandable as we learn more about their civilization .",0
"This version stated that `` the other two men in the plane died , probably before Lt. Bush touched the water . ''",1
"Gently rocking them swings the hammers , which sway back and forth like the tongues of bells to strike the chimes .",0
"Although the editorial mentioned the deficiencies of the traditional , peer-review method of funding university research , it nevertheless failed to grasp the underlying realities that now have impelled Congress to fund university projects directly .",1
"The last Polish leader who recognized Solidarity , Edward Gierek , lost his job in the process ; Gen. Jaruzelski has rested his political base on a refusal to do the same .",1
"But yesterday it was a dollar-boosting dispatch from a Japanese news service that was primarily responsible for dragging precious metals prices back down , analysts said .",1
"In `` As Session Ends , Democrats Can Brag a Little , but They Dropped a Big One '' -LRB- back page , Dec. 18 -RRB- , you missed the biggest accomplishment of the congressional Democrats .",0
"Indian troops in Sri Lanka killed 20 Tamil civilians after four soldiers died in an ambush by Tamil rebels , officials in Colombo said .",1
"The theory behind the strategy: If it 's there , people will drink it .",0
Cabot Medical Corp. said it received approval from the Food and Drug Administration to market a new pump that simplifies a diagnostic procedure for examining the uterus .,0
"New Year 's Day , after an afternoon of eating my mother-in-law 's chicken , I weigh in at 175 pounds .",0
"Oh , for the day when we all drive Yugos to our stagnant jobs , secure in the knowledge that no one will lend us money .",0
"There is , of course , a long-established list of `` have '' and `` have not '' sports in the U.S . , but it is ironic that weightlifting ranks with the `` nots '' at a time when Americans are pumping iron in unprecedented numbers .",1
"Sidney Ganis , president of marketing , says the studio tries to remind Academy members of films that may have escaped notice .",0
But international groups that attacked Mr. Jenninger 's remarks may find themselves among the losers .,0
"That 's pretty much it , plotwise , except for coming up with the various modes of transportation the bounty hunter cop has to use to drag the con man accountant across country .",0
"Army and medical rescue teams reached stricken Chinese villages in a remote area near Burma , where an earthquake Sunday killed more than 900 people .",0
"The IDB has lent more than $ 35 billion since its inception 27 years ago , much of it to create the type of parastatal companies Treasury Secretary James Baker has been trying to persuade Latin governments to dismantle .",0
"He now says that specialty retailing fills the bill , but he made a number of profitable forays in the meantime .",1
"In one illustrative case , they voted to strike down a state statute denying public funds for abortions under a provision they found `` implicit '' in the Massachusetts constitution .",0
"These programs target the 34 million Americans who , according to the National Institutes of Health , need to lose 35 pounds or more .",0
"`` European electronics companies would invent a new product , and then six of them would each make it and kill each other , while the Japanese grabbed the market , '' says Mr. Salzmann , President Mitterrand 's adviser .",1
